PLZ;Kanton;Gemeinden
2088;Neuenburg;Cressier (NE)
2103;Neuenburg;Val-de-Travers
2105;Neuenburg;Val-de-Travers
2108;Neuenburg;Val-de-Travers
2112;Neuenburg;Val-de-Travers
2113;Neuenburg;Val-de-Travers
2114;Neuenburg;Val-de-Travers
2115;Neuenburg;Val-de-Travers
2116;Neuenburg;Val-de-Travers
2117;Neuenburg;La Côte-aux-Fées
2123;Neuenburg;Val-de-Travers
2124;Neuenburg;Val-de-Travers
2126;Neuenburg;Les Verričres
2127;Neuenburg;Val-de-Travers
2149;Neuenburg;Rochefort
2206;Neuenburg;Val-de-Ruz
2207;Neuenburg;Val-de-Ruz
2208;Neuenburg;Val-de-Ruz
2300;Neuenburg;La Chaux-de-Fonds
2314;Neuenburg;La Sagne
2316;Neuenburg;Les Ponts-de-Martel
2318;Neuenburg;Brot-Plamboz
2322;Neuenburg;La Chaux-de-Fonds
2325;Neuenburg;Les Planchettes
2333;Bern;La Ferričre
2336;Jura;Les Bois
2338;Jura;Muriaux
2340;Jura;Le Noirmont
2345;Jura;La Chaux-des-Breuleux, Saint-Imier, Les Breuleux
2350;Jura;Saignelégier
2353;Jura;Saignelégier
2354;Jura;Saignelégier
2360;Jura;Le Bémont (JU)
2362;Jura;Montfaucon
2363;Jura;Les Enfers
2364;Jura;Saint-Brais
2400;Neuenburg;, Le Locle
2405;Neuenburg;La Chaux-du-Milieu
2406;Neuenburg;La Brévine
2414;Neuenburg;Le Cerneux-Péquignot
2416;Neuenburg;Les Brenets
2502;Bern;Biel/Bienne
2503;Bern;Biel/Bienne
2504;Bern;Biel/Bienne
2505;Bern;Biel/Bienne
2512;Bern;Twann-Tüscherz
2513;Bern;Twann-Tüscherz
2514;Bern;Ligerz
2515;Bern;Plateau de Diesse
2516;Bern;Plateau de Diesse
2517;Bern;Plateau de Diesse
2518;Bern;Nods
2520;Bern;La Neuveville
2523;Neuenburg;Ligničres
2525;Neuenburg;Le Landeron
2532;Bern;Evilard
2533;Bern;Evilard
2534;Bern;Orvin
2535;Bern;Sauge
2536;Bern;Sauge
2537;Bern;Sauge
2538;Bern;Romont (BE)
2540;Solothurn;Grenchen
2542;Bern;Pieterlen
2543;Bern;Lengnau (BE)
2544;Solothurn;Bettlach
2545;Solothurn;Selzach
2552;Bern;Orpund
2553;Bern;Safnern
2554;Bern;Meinisberg
2555;Bern;Brügg
2556;Bern;Scheuren, Schwadernau
2557;Bern;Studen (BE)
2558;Bern;Aegerten
2560;Bern;Nidau
2562;Bern;Port
2563;Bern;Ipsach
2564;Bern;Bellmund
2565;Bern;Jens
2572;Bern;Mörigen, Sutz-Lattrigen
2575;Bern;Täuffelen, Hagneck
2576;Bern;Lüscherz
2577;Bern;Finsterhennen, Siselen
2603;Bern;Péry-La Heutte
2604;Bern;Péry-La Heutte
2605;Bern;Sonceboz-Sombeval
2606;Bern;Corgémont
2607;Bern;Cortébert
2608;Bern;Courtelary, Cortébert
2610;Bern;Saint-Imier, Cormoret
2612;Bern;Cormoret
2613;Bern;Villeret
2615;Bern;Sonvilier
2616;Bern;Renan (BE)
2710;Bern;Tavannes
2712;Bern;Saicourt
2713;Bern;Saicourt
2714;Jura;Les Genevez (JU)
2715;Bern;Petit-Val
2716;Bern;Petit-Val
2717;Bern;Petit-Val, Rebévelier
2718;Jura;Lajoux (JU)
2720;Bern;Tavannes, Tramelan
2722;Bern;Tramelan
2723;Bern;Mont-Tramelan
2732;Bern;Loveresse, Reconvilier, Saicourt, Saules (BE)
2733;Bern;Valbirse
2735;Bern;Valbirse, Champoz
2736;Bern;Sorvilier
2738;Bern;Court
2740;Bern;Moutier
2742;Bern;Perrefitte
2743;Bern;Eschert
2744;Bern;Belprahon
2745;Bern;Grandval
2746;Bern;Crémines
2747;Bern;Corcelles (BE), Seehof
2748;Bern;Petit-Val
2762;Bern;Roches (BE)
2800;Jura;Delémont
2802;Jura;Develier
2803;Jura;Bourrignon
2805;Jura;Soyhičres
2806;Jura;Mettembert
2807;Jura;Pleigne
2812;Jura;Movelier
2813;Jura;Ederswiler
2814;Basel-Landschaft;Roggenburg
2822;Jura;Courroux
2823;Jura;Courroux
2824;Jura;Val Terbi
2825;Jura;Courchapoix
2826;Jura;Corban
2827;Jura;Mervelier, Schelten
2828;Jura;Val Terbi
2829;Jura;Val Terbi
2830;Jura;Courrendlin, Vellerat
2832;Jura;Rebeuvelier
2842;Jura;Rossemaison
2843;Jura;Châtillon (JU)
2852;Jura;Courtételle
2853;Jura;Haute-Sorne
2854;Jura;Haute-Sorne
2855;Jura;Haute-Sorne
2856;Jura;Boécourt
2857;Jura;Boécourt
2863;Jura;Haute-Sorne
2864;Jura;Haute-Sorne
2873;Jura;Saulcy
2882;Jura;Clos du Doubs, Saint-Brais
2883;Jura;Clos du Doubs
2884;Jura;Clos du Doubs
2885;Jura;Clos du Doubs
2886;Jura;Clos du Doubs
2887;Jura;Soubey
2888;Jura;Clos du Doubs
2889;Jura;Clos du Doubs
2900;Jura;Porrentruy
2902;Jura;Fontenais
2903;Jura;Fontenais
2904;Jura;Fontenais
2905;Jura;Courtedoux
2906;Jura;Haute-Ajoie
2907;Jura;Rocourt
2908;Jura;Grandfontaine
2912;Jura;Haute-Ajoie
2914;Jura;Haute-Ajoie
2915;Jura;Bure
2916;Jura;Fahy
2922;Jura;Courchavon
2923;Jura;Basse-Allaine
2924;Jura;Basse-Allaine
2925;Jura;Basse-Allaine
2926;Jura;Boncourt
2932;Jura;Coeuve
